"filename", "language", "JavaScript", "JSON", "TypeScript", "XML", "comment", "blank", "total"
"c:\Users\Home\mycoffee_server\coffee_server\.idea\coffee_server.iml", "XML", 0, 0, 0, 12, 0, 0, 12
"c:\Users\Home\mycoffee_server\coffee_server\.idea\jsLibraryMappings.xml", "XML", 0, 0, 0, 6, 0, 0, 6
"c:\Users\Home\mycoffee_server\coffee_server\.idea\modules.xml", "XML", 0, 0, 0, 8, 0, 0, 8
"c:\Users\Home\mycoffee_server\coffee_server\.idea\vcs.xml", "XML", 0, 0, 0, 6, 0, 0, 6
"c:\Users\Home\mycoffee_server\coffee_server\auth.test.js", "JavaScript", 34, 0, 0, 0, 0, 6, 40
"c:\Users\Home\mycoffee_server\coffee_server\database.js", "JavaScript", 15, 0, 0, 0, 0, 3, 18
"c:\Users\Home\mycoffee_server\coffee_server\jest.config.ts", "TypeScript", 0, 0, 8, 0, 136, 56, 200
"c:\Users\Home\mycoffee_server\coffee_server\mailer.js", "JavaScript", 21, 0, 0, 0, 0, 5, 26
"c:\Users\Home\mycoffee_server\coffee_server\package-lock.json", "JSON", 0, 6074, 0, 0, 0, 1, 6075
"c:\Users\Home\mycoffee_server\coffee_server\package.json", "JSON", 0, 40, 0, 0, 0, 1, 41
"c:\Users\Home\mycoffee_server\coffee_server\pool.js", "JavaScript", 19, 0, 0, 0, 2, 4, 25
"c:\Users\Home\mycoffee_server\coffee_server\routes.js", "JavaScript", 71, 0, 0, 0, 1, 4, 76
"c:\Users\Home\mycoffee_server\coffee_server\routes\admins.js", "JavaScript", 646, 0, 0, 0, 7, 138, 791
"c:\Users\Home\mycoffee_server\coffee_server\routes\auth.js", "JavaScript", 493, 0, 0, 0, 34, 55, 582
"c:\Users\Home\mycoffee_server\coffee_server\routes\basket.js", "JavaScript", 451, 0, 0, 0, 39, 64, 554
"c:\Users\Home\mycoffee_server\coffee_server\routes\items.js", "JavaScript", 273, 0, 0, 0, 12, 60, 345
"c:\Users\Home\mycoffee_server\coffee_server\routes\likes.js", "JavaScript", 193, 0, 0, 0, 12, 34, 239
"c:\Users\Home\mycoffee_server\coffee_server\routes\payment.js", "JavaScript", 99, 0, 0, 0, 2, 17, 118
"c:\Users\Home\mycoffee_server\coffee_server\routes\popularProducts.js", "JavaScript", 122, 0, 0, 0, 0, 30, 152
"c:\Users\Home\mycoffee_server\coffee_server\routes\twilio.js", "JavaScript", 106, 0, 0, 0, 7, 22, 135
"c:\Users\Home\mycoffee_server\coffee_server\routes\user.js", "JavaScript", 816, 0, 0, 0, 39, 163, 1018
"c:\Users\Home\mycoffee_server\coffee_server\server.js", "JavaScript", 55, 0, 0, 0, 5, 8, 68
"c:\Users\Home\mycoffee_server\coffee_server\utils.js", "JavaScript", 4, 0, 0, 0, 0, 2, 6
"c:\Users\Home\mycoffee_server\coffee_server\validatePassword.js", "JavaScript", 13, 0, 0, 0, 0, 4, 17
"c:\Users\Home\mycoffee_server\coffee_server\validation.js", "JavaScript", 54, 0, 0, 0, 7, 15, 76
"c:\Users\Home\mycoffee_server\coffee_server\validationsmen.js", "JavaScript", 48, 0, 0, 0, 6, 10, 64
"Total", "-", 3533, 6114, 8, 32, 309, 702, 10698
